exercise,x_joint_1,y_joint_1,x_joint_2,y_joint_2,x_joint_3,y_joint_3
1,654.5,477.5,492.0,494.0,536.5,623.5
1,649.0,474.0,487.5,493.5,541.0,617.5
1,647.5,473.5,487.5,503.5,545.5,616.0
1,645.0,473.0,487.5,505.5,531.5,618.5
1,645.5,473.0,485.0,499.0,532.5,621.0
1,645.5,473.0,484.0,497.5,529.5,626.0
1,646.0,473.0,484.0,504.5,531.5,625.0
1,646.5,473.5,484.5,506.0,535.0,624.0
1,646.0,474.5,484.5,506.5,534.5,624.5
1,646.0,475.0,484.5,506.0,535.0,624.0
1,646.5,475.0,484.5,506.5,534.0,624.5
1,646.5,476.0,484.5,506.5,538.0,621.5
1,647.0,476.5,484.5,507.0,538.0,620.0
1,647.0,476.5,484.5,506.5,538.5,618.5
1,647.0,476.5,484.5,506.0,538.5,617.5
1,647.0,476.5,484.5,506.0,538.5,617.5
1,647.0,476.5,486.0,505.5,540.5,617.0
1,647.0,476.5,486.5,505.5,542.5,616.0
1,647.0,476.5,486.5,498.0,533.0,620.0
1,647.0,477.0,486.5,502.0,530.0,622.5
1,647.0,477.0,486.0,498.0,528.5,624.5
1,647.0,477.0,485.5,497.0,528.0,625.5
1,647.0,477.0,485.5,496.0,527.0,626.0
1,647.5,477.0,485.5,502.0,528.0,625.0
1,647.5,477.0,485.5,497.5,528.5,624.5
1,647.5,477.0,486.5,502.5,542.5,619.5
1,647.5,477.0,486.5,506.0,548.0,617.5
1,647.5,477.0,487.0,506.0,547.0,617.0
1,648.0,477.5,487.5,505.5,544.5,617.5
1,648.0,477.0,488.0,505.5,543.5,617.5
1,648.0,477.0,488.0,505.5,544.5,617.5
1,648.0,477.0,488.0,506.5,549.0,617.0
1,648.5,477.0,487.5,507.0,551.5,617.5
1,648.0,476.5,487.5,506.5,550.0,617.5
1,648.0,476.5,487.5,506.5,549.0,617.0
1,648.0,476.0,487.5,507.0,547.0,617.0
1,647.5,476.0,486.0,507.0,546.5,613.5
1,647.0,477.0,483.5,501.0,545.5,612.0
1,646.5,479.5,483.5,499.0,536.5,613.0
1,649.0,483.0,486.5,496.5,532.5,618.5
1,651.0,484.0,488.5,497.0,530.5,624.0
1,652.5,484.5,490.0,506.0,520.0,652.0
1,655.5,484.5,494.5,507.5,516.0,653.5
1,656.5,486.0,495.0,508.0,522.5,650.0
1,655.5,485.0,495.0,499.5,523.0,644.0
1,650.0,483.0,499.5,500.0,522.5,644.0
1,646.0,480.5,505.5,500.0,518.0,648.0
1,647.0,480.5,503.5,498.5,512.5,647.0
1,644.5,480.0,504.5,508.0,500.5,634.5
1,643.5,479.5,503.0,498.5,493.0,623.0
1,643.0,480.0,503.5,498.5,498.0,629.5
1,642.5,479.5,497.0,504.5,500.5,644.5
1,643.0,479.5,489.5,509.5,501.5,654.5
1,642.0,478.5,487.5,511.0,500.5,658.5
1,642.0,478.0,486.5,510.5,500.0,660.0
1,642.0,477.0,489.0,509.5,500.5,660.0
1,642.5,476.5,490.0,509.5,500.5,662.0
1,643.0,476.5,490.0,510.0,501.0,662.5
1,643.5,477.5,490.5,510.5,500.5,661.0
1,643.5,477.5,489.5,510.5,499.5,660.0
1,644.5,477.5,489.5,511.0,499.0,651.0
1,645.0,477.5,488.5,510.5,501.0,646.5
1,645.5,477.5,488.0,510.0,503.0,642.5
1,646.0,478.0,487.5,510.0,503.0,643.5
1,647.0,478.5,487.5,510.5,503.0,647.0
1,648.0,478.5,489.0,509.0,504.0,647.0
1,647.5,478.0,489.0,511.0,504.0,648.0
1,647.5,478.5,488.0,512.0,504.0,655.0
1,647.5,478.5,487.0,512.0,504.0,656.5
1,648.0,478.5,487.0,512.0,500.5,656.0
1,648.0,479.0,486.5,511.5,500.5,655.5
1,648.0,480.0,487.0,511.5,502.0,651.0
1,648.0,480.5,485.0,511.5,502.0,655.5
1,649.0,481.0,484.5,511.5,502.5,657.5
1,649.0,481.5,484.5,511.0,502.5,656.0
1,649.0,482.0,485.0,511.0,502.5,657.0
1,648.5,482.5,485.5,510.5,502.0,652.0
1,648.5,483.0,486.0,510.5,502.0,652.0
1,649.5,483.5,486.0,510.5,502.0,652.0
1,650.0,485.0,486.0,510.5,502.0,656.0
1,650.0,485.0,486.0,511.0,503.0,656.0
1,650.5,485.5,490.5,498.0,508.0,643.0
1,649.5,485.0,494.5,492.0,516.0,634.0
1,649.0,485.0,496.0,491.0,513.5,633.0
1,648.5,485.5,496.5,491.0,519.0,632.5
1,648.0,485.5,497.0,491.5,524.0,633.0
1,647.5,485.5,496.0,502.5,526.0,634.5
1,647.0,485.5,494.5,505.5,527.0,635.0
1,646.5,485.5,492.0,507.0,533.0,633.0
1,646.5,485.5,492.0,507.5,535.0,633.0
1,646.0,485.0,503.0,499.5,537.5,631.0
1,645.5,484.0,506.0,497.5,542.0,627.0
1,645.5,484.0,507.5,496.5,546.0,623.5
1,645.5,483.0,508.5,496.0,545.0,622.5
1,645.5,482.0,507.5,495.5,545.5,621.5
1,645.0,482.0,506.5,495.5,544.0,622.5
1,645.0,482.0,499.5,506.0,547.5,623.5
1,644.5,482.0,508.0,501.0,547.5,623.5
1,644.0,482.0,511.5,498.0,552.5,621.5
1,644.0,481.5,497.5,506.0,539.5,632.0
1,643.5,481.0,494.5,508.0,532.5,635.0
1,643.5,481.0,495.0,508.5,534.5,633.5
1,643.5,481.0,492.5,511.0,529.5,638.0
1,644.5,481.5,489.0,511.5,517.0,640.5
1,645.0,481.5,490.0,512.0,514.5,642.0
1,645.5,481.5,491.0,512.0,513.5,641.0
1,645.5,481.5,492.5,512.0,513.0,641.0
1,646.0,482.0,493.0,512.0,498.0,638.5
1,646.5,482.0,494.0,511.0,492.0,639.0
1,646.5,481.0,492.0,511.0,488.0,638.0
1,646.5,480.5,492.5,511.0,494.0,633.0
1,647.0,480.5,492.5,510.0,497.5,630.0
1,647.0,480.5,492.5,509.5,505.5,627.5
1,647.0,480.5,491.5,509.5,516.0,629.5
1,646.5,481.0,491.0,509.0,524.0,630.0
1,646.0,481.0,491.0,509.0,513.0,631.0
1,646.0,481.0,498.5,497.0,508.0,628.5
1,646.0,481.0,497.5,501.0,504.0,628.5
