exercise,x_joint_1,y_joint_1,x_joint_2,y_joint_2,x_joint_3,y_joint_3
1,551.0,451.0,434.0,458.5,409.0,572.0
1,553.0,452.0,435.0,458.0,409.0,572.5
1,553.5,452.5,435.5,458.0,408.0,572.0
1,553.0,453.0,435.5,457.5,404.0,572.0
1,552.5,452.5,435.5,457.0,403.0,571.5
1,552.5,451.5,436.0,457.5,403.0,571.5
1,553.0,451.5,437.0,459.5,402.5,572.0
1,553.0,451.0,437.5,459.5,402.5,572.5
1,553.5,450.5,441.0,461.5,401.5,573.0
1,553.0,450.5,442.0,463.0,400.5,573.0
1,553.0,450.5,442.0,462.5,400.0,572.0
1,553.0,450.5,441.5,462.0,399.0,571.5
1,553.0,450.5,441.5,461.0,398.0,570.0
1,553.0,450.5,441.5,461.0,396.5,569.0
1,553.0,450.5,441.0,461.0,393.0,568.5
1,552.5,451.0,441.0,460.0,391.5,567.0
1,552.5,450.5,440.0,457.5,389.5,564.0
1,552.5,450.5,440.0,457.5,388.5,563.0
1,552.5,450.5,440.0,458.0,387.5,563.0
1,552.0,450.5,441.0,459.5,388.5,564.0
1,551.5,450.5,441.0,460.0,386.0,564.5
1,550.5,450.5,438.0,458.0,385.0,563.5
1,550.0,451.0,436.0,456.5,383.0,561.5
1,550.0,451.0,435.0,456.5,381.0,563.5
1,549.5,451.0,434.0,456.0,375.0,557.0
1,549.5,450.5,434.5,456.5,377.5,561.5
1,549.0,450.5,435.0,457.0,378.0,562.0
1,548.5,450.0,435.5,457.5,381.0,561.5
1,548.0,450.0,441.0,463.5,381.5,560.5
1,548.5,450.0,441.5,463.5,381.0,559.5
1,549.0,450.0,443.0,464.0,379.5,558.0
1,549.0,450.0,444.0,464.0,379.0,556.0
1,549.0,449.5,442.5,464.5,377.0,554.5
1,549.0,449.0,444.0,465.0,376.5,553.5
1,549.0,448.5,443.5,465.0,374.5,552.0
1,549.0,448.5,442.5,465.0,373.5,550.5
1,548.5,448.0,441.5,465.0,372.5,549.0
1,547.5,448.0,438.5,464.0,372.5,546.5
1,547.0,447.5,437.0,463.0,372.0,545.0
1,547.0,447.5,435.0,461.5,371.0,543.5
1,547.0,446.5,435.5,462.0,370.5,542.0
1,547.5,446.0,436.5,459.0,360.5,524.0
1,548.5,445.5,435.5,455.5,349.5,511.5
1,549.5,444.0,436.0,455.5,355.0,517.0
1,549.5,443.5,436.5,456.0,364.5,532.5
1,549.5,443.5,436.5,456.5,364.5,533.0
1,549.0,443.5,437.0,457.0,365.0,533.0
1,549.0,443.5,437.0,457.0,364.5,532.0
1,549.5,444.0,436.0,455.0,334.5,494.5
1,549.5,444.0,436.0,452.5,331.0,487.0
1,549.5,444.0,435.5,451.5,326.5,478.5
1,550.0,444.0,436.0,450.5,322.5,472.5
1,550.5,444.5,436.0,450.5,320.5,470.0
1,550.5,444.0,436.0,450.0,319.0,468.0
1,551.0,443.5,436.0,450.0,317.0,466.5
1,551.0,443.5,435.5,450.5,317.0,466.5
1,551.0,443.5,435.5,450.5,316.5,466.5
1,551.0,444.0,435.5,450.5,317.0,467.0
1,550.5,444.5,435.5,450.0,317.0,466.5
1,550.0,444.5,435.0,449.5,316.5,465.0
1,550.0,445.0,435.0,447.5,318.0,463.0
1,550.0,445.0,434.5,446.0,318.0,461.0
1,550.0,444.5,434.5,445.5,317.5,460.0
1,550.0,445.0,434.5,444.5,317.0,458.5
1,550.0,445.5,434.0,444.5,317.5,457.5
1,550.0,444.5,434.0,444.0,317.5,456.5
1,550.0,445.0,434.5,444.0,317.5,456.5
1,550.5,445.0,434.5,445.0,317.5,456.5
1,551.0,445.0,434.5,445.0,318.0,456.5
1,551.0,445.5,434.5,445.0,318.0,456.5
1,551.0,445.5,434.5,445.0,318.0,456.5
1,551.0,446.0,434.5,445.0,318.0,455.5
1,550.5,446.5,434.5,445.0,318.0,455.0
1,551.0,446.5,434.5,445.5,318.5,455.5
1,551.0,446.0,434.5,444.5,320.0,455.5
